p_val	auc	avg_log2FC	pct.1	pct.2	p_val_adj
0.00505560929043904	0.40667893023914	-0.483579875800366	0.495	0.702	1
0.0052547333760455	0.424437526531767	-0.543821072000783	0.18	0.335	1
0.00530267886406385	0.572850337248243	1.33691092700843	0.333	0.199	1
0.00540699028900223	0.407952455072874	-0.495865405260777	0.514	0.66	1
0.00542328210858194	0.594783264940333	0.533220666920379	0.919	0.864	1
0.00546280225754473	0.569784444129994	0.534084817507247	0.315	0.173	1
0.00552289655144046	0.575892646573275	0.934838153281908	0.378	0.23	1
0.00579563932164617	0.415004009244847	-0.739080403045523	0.351	0.476	1
0.00604405954517052	0.408046790245743	-0.279915661805923	0.613	0.728	1
0.00607304759830627	0.408447714730437	-0.423887283497888	0.568	0.712	1
0.00612852091858405	0.409957077496345	-0.454436850401211	0.477	0.644	1
0.00624501307766907	0.408259044384699	-0.753920418678512	0.559	0.702	1
0.00648449916886775	0.427904344134711	-0.799663175576181	0.171	0.309	1
0.00652893788682816	0.584689401443328	0.527226532569294	0.55	0.429	1
0.00683479038564453	0.585231828687326	0.894954099044028	0.541	0.414	1
0.00685898544393803	0.414084241309372	-0.389702013631177	0.405	0.565	1
0.00690329152261615	0.584099806612896	0.593908241448496	0.541	0.424	1
0.00710674286024593	0.5761992358851	0.649334526453674	0.414	0.272	1
0.00714709142689982	0.42170180651856	-0.751152049185893	0.252	0.403	1
0.00727214434546726	0.4101693316353	-0.343164144391502	0.613	0.754	1
0.00739105332364874	0.425852554124805	-0.610566109657029	0.207	0.356	1
0.00739637956284455	0.582236686948729	0.768806101032659	0.495	0.366	1
0.00754358035259348	0.427880760341493	-0.490397196912371	0.18	0.335	1
0.00762622848094834	0.423211169284468	-0.60890107928121	0.234	0.393	1
0.00773445498108462	0.576600160369794	0.695625826626956	0.414	0.283	1
0.00808111374823832	0.578982123484741	1.31038253534665	0.459	0.325	1
0.0082572080690524	0.425711051365502	-0.504602168623345	0.216	0.372	1
0.00827843898191494	0.576222819678317	1.54205645610374	0.405	0.293	1
0.00850702711992894	0.429319371727749	-0.853095204333404	0.189	0.319	1
0.00855319337906611	0.41549926890241	-0.381663961794518	0.387	0.581	1
0.00855611878263192	0.430757983114004	-0.645581253029061	0.171	0.309	1
0.00874950183609319	0.560350926843073	0.599858325662991	0.252	0.136	1
0.00884599921387082	0.433894627611905	-0.702745176782619	0.144	0.277	1
0.00898903150368477	0.427857176548276	-0.565295762737239	0.207	0.351	1
0.00911443397148156	0.56492618272723	0.823034808018664	0.297	0.173	1
0.00931042812639691	0.411112683363992	-0.33533000087344	0.775	0.906	1
0.00973588659936921	0.412975803028159	-0.330870410931173	0.613	0.77	1
0.00987479370782549	0.565916702042356	0.80404387406183	0.315	0.188	1
0.0100963356999643	0.426819489646715	-0.567424224407208	0.225	0.382	1
